2025-04-23 19:44:38.475 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间9
2025-04-23 19:44:38.486 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD7销售了2剩余1
2025-04-23 19:44:38.486 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间89
2025-04-23 19:44:38.512 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD6已借出Thread-17租借线程等待中
2025-04-23 19:44:38.530 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD8销售了1剩余8
2025-04-23 19:44:38.530 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间29
2025-04-23 19:44:38.541 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了0剩余1
2025-04-23 19:44:38.541 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间45
2025-04-23 19:44:38.546 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程租到了cd：CD3持有297ms
2025-04-23 19:44:38.548 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD6销售了4剩余4
2025-04-23 19:44:38.548 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间196
2025-04-23 19:44:38.560 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD8销售了0剩余8
2025-04-23 19:44:38.560 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间79
